Designator,Footprint,Quantity,Value,LCSC Part #
AE1,ANT-SMD_L3.2-W1.6,1,2450AT18A100E,C89334
"C1, C10, C11, C12, C2, C24, C3, C4, C6, C8, C9",0201,11,100nF,
"C13, C19, C20, C5",0402,4,4.7uF,
"C14, C15, C16, C17",0201,4,10pF,
"C18, C7",0402,2,1uF,
"C21, C22, C23, C25",0603,4,10uF,
"C26, C27, C28",0603,3,22uF,
FL1,FILTER-SMD_6P-L1.6-W1.0-P0.50-BL,1,MLPF-WB55-01E3,C2651048
"J1, J2",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
L1,0402,1,10nH,
L2,0402,1,10uH,
LED1,LED0402-RD_GREEN,1,XL-1005UGC,C965793
"R1, R15",0201,2,5.1K,
"R10, R11, R8, R9",0201,4,10K,
R12,0201,1,470K,
R13,0201,1,150K,
R14,0402,1,100K,
R2,0201,1,150,
R3,0201,1,4.12K,
R4,0201,1,1.18K,
R5,0201,1,1.13K,
"R6, R7",0201,2,1.5K,
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,SW_Push,C720477
"TP1, TP2, TP3",TestPoint_Pad_1.0x1.0mm,3,TestPoint,
"TP4, TP5",TestPoint_Pad_2.0x2.0mm,2,TestPoint,
U1,VQFN-HR-15_L3.0-W2.5-P0.50-BL_TPS63070RNMR,1,TPS630701RNMR,C2876599
U2,CRYSTAL-SMD_L2.0-W1.2,1,NX2012SA-32.768KHZ-STD-MUB-2,C891748
U3,LED0402-RD,1,XL-1005UBC_C22355736,C22355736
U4,QFN-68-1EP_8x8mm_P0.4mm_EP6.4x6.4mm,1,STM32WB55RGVx,
U5,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24074RGT,
U6,Texas_DRT-3,1,TPD2EUSB30,
U7,LED0402-FD_YELLOW,1,SZYY0402Y_C434450,C434450
U8,IND-SMD_L2.5-W2.0_MEKK2520TR47M,1,FTC252012S1R5MBCA,C5832371
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
X1,OSC-SMD_4P-L2.0-W1.6-BL,1,NX2016SA-32MHZ-STD-CZS-5,C843260
