Designator,Mid X,Mid Y,Rotation,Layer
AE1,121.95,-78.0,270.0,top
C1,128.9,-74.5,135.0,top
C10,126.65,-76.7,180.0,top
C11,126.655,-77.5,180.0,top
C12,135.755,-83.35,0.0,top
C13,129.0,-82.55,180.0,top
C14,125.2,-81.95,225.0,top
C15,125.75,-82.5,225.0,top
C16,143.9,-75.95,0.0,top
C17,143.85,-77.45,0.0,top
C18,158.75,-80.9,180.0,top
C19,157.25,-75.8,90.0,top
C2,132.0,-84.3,270.0,top
C20,162.75,-76.95,270.0,top
C21,152.65,-76.15,180.0,top
C22,153.85,-80.55,270.0,top
C23,152.05,-79.95,270.0,top
C24,148.65,-76.05,180.0,top
C25,146.6,-79.7,270.0,top
C26,145.05,-79.7,270.0,top
C27,143.5,-79.7,270.0,top
C28,141.95,-79.725,270.0,top
C3,139.9,-77.1,0.0,top
C4,139.9,-78.9,0.0,top
C5,140.25,-78.0,0.0,top
C6,136.57,-73.05,0.0,top
C7,136.62,-72.15,0.0,top
C8,130.5,-84.3,270.0,top
C9,131.25,-84.3,270.0,top
FL1,127.70603,-74.959584,315.0,top
J1,146.25,-86.89,90.0,top
J2,146.25,-69.11,90.0,top
L1,129.0,-84.55,0.0,top
L2,129.0,-83.55,180.0,top
LED1,155.0,-78.0,270.0,top
R1,164.65,-79.6,270.0,top
R10,158.25,-83.65,0.0,top
R11,151.9,-77.4,180.0,top
R12,146.605,-77.75,0.0,top
R13,146.6,-76.95,180.0,top
R14,146.85,-76.0,0.0,top
R15,164.65,-75.9,90.0,top
R2,138.95,-80.15,180.0,top
R3,160.1,-79.65,90.0,top
R4,158.4,-79.25,90.0,top
R5,160.9,-79.65,90.0,top
R6,155.0,-79.9,270.0,top
R7,156.35,-79.9,270.0,top
R8,161.71,-79.245,270.0,top
R9,158.405,-72.35,0.0,top
SW1,162.044084,-72.359223,0.0,top
SW2,162.032121,-83.658364,0.0,top
U1,149.25,-77.93,180.0,top
U2,142.1,-76.7,90.0,top
U3,156.35,-78.0,270.0,top
U4,133.25,-78.0,315.0,top
U5,160.0,-76.7,180.0,top
U6,164.05,-78.0,270.0,top
U7,140.3,-80.7,270.0,top
U8,149.25,-80.85,180.0,top
USB1,168.15,-78.0,90.0,top
X1,127.03383,-80.65,135.0,top
